Infinity;3.951412e-3;3.873591e-3;1.4214971e-2
Infinity;4.711e-6;4.54162e-3;1.4033575999999999e-2
Infinity;5.019e-6;4.049575e-3;1.4400932e-2
Infinity;4.981e-6;1.5511809e-2;1.3765753e-2
Infinity;5.917e-6;1.8513655e-2;2.5041551999999998e-2
Infinity;4.87e-6;5.291364e-3;1.5479808e-2
Infinity;5.259e-6;3.4037819999999997e-3;1.5906054e-2
Infinity;6.013e-6;1.622283e-3;1.6962624e-2
Infinity;5.2819999999999996e-6;1.712227e-3;1.6677089e-2
Infinity;4.7399999999999995e-6;1.3031243e-2;1.5847616e-2
Infinity;5.717e-6;1.195049e-3;1.9104905e-2
Infinity;5.206e-6;2.716892e-3;1.6659918e-2
Infinity;4.414e-6;1.482356e-3;1.4050779e-2
Infinity;5.77e-6;2.814418e-3;1.4837711e-2
Infinity;4.77e-6;3.851091e-3;1.6073569e-2
Infinity;5.1579999999999996e-6;9.887584999999999e-3;1.2967005e-2
Infinity;5.533e-6;1.499409e-3;1.3682984e-2
Infinity;5.0899999999999995e-6;1.1937481e-2;2.4201974e-2
Infinity;5.448e-6;3.870469e-3;1.6910025999999998e-2
Infinity;4.856e-6;1.846755e-3;1.7909635e-2
