Infinity;2.152885161;Infinity;Infinity
Infinity;6.4879999999999995e-6;Infinity;Infinity
Infinity;5.298e-6;Infinity;Infinity
Infinity;5.201e-6;Infinity;Infinity
Infinity;5.266e-6;Infinity;Infinity
Infinity;5.266e-6;Infinity;Infinity
Infinity;5.008e-6;Infinity;Infinity
Infinity;5.327e-6;Infinity;Infinity
Infinity;4.996e-6;Infinity;Infinity
Infinity;5.128e-6;Infinity;Infinity
Infinity;5.147e-6;Infinity;Infinity
Infinity;5.145e-6;Infinity;Infinity
Infinity;5.352e-6;Infinity;Infinity
Infinity;5.0609999999999995e-6;Infinity;Infinity
Infinity;4.958e-6;Infinity;Infinity
Infinity;5.725e-6;Infinity;Infinity
Infinity;5.301e-6;Infinity;Infinity
Infinity;4.9319999999999995e-6;Infinity;Infinity
Infinity;5.145e-6;Infinity;Infinity
Infinity;5.256e-6;Infinity;Infinity
